currentTick;currentActivePowerConsumption;currentActivePowerPv;currentActivePowerPvAutoConsumption;currentActivePowerPvFeedIn;currentActivePowerChp;currentActivePowerChpAutoConsumption;currentActivePowerChpFeedIn;currentActivePowerBatteryCharging;currentActivePowerBatteryDischarging;currentActivePowerBatteryAutoConsumption;currentActivePowerBatteryFeedIn;currentActivePowerExternal;currentReactivePowerExternal;currentGasPowerExternal;epsCosts;plsCosts;gasCosts;feedInCostsPV;feedInCostsCHP;autoConsumptionCosts;currentPvFeedInPrice
60;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
120;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
180;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
240;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
300;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
360;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
420;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
480;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
540;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
600;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
660;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
720;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
780;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
840;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
900;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;252.0;35.0;0.0;0.0018270000000000003;0.0;0.0;0.0;0.0;0.0;10.0
960;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1020;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1080;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1140;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1200;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1260;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1320;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1380;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1440;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1500;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1560;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
1620;227.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;32.0;0.0;0.0016457500000000003;0.0;0.0;0.0;0.0;0.0;10.0
